Plan_ID,Description,Location,Start Date,End Date,Status
P1,Refugee camps,Singapore,01/01/2023,10/01/2023,Finished
P2,Community-run refugee camps,Malaysia,15/02/2023,05/12/2023,Finished
P3,Accommodation provision,Greece,20/03/2023,07/12/2023,Finished
P4,Family refugee camps,Iraq,05/04/2023,15/04/2023,Finished
P5,Sicily refugee network,Italy,10/05/2023,25/12/2023,Finished
P6,Shelter building project,Nigeria,25/06/2023,07/12/2023,Finished
P7,Refugee camps with medical centre,China,08/08/2023,18/08/2023,Finished
P8,Disaster relief program,Jordan,12/09/2023,22/09/2023,Finished
P9,Crisis response,Iran,18/10/2023,28/10/2023,Finished
P10,Family refugee camp network,Colombia,07/12/2023,08/12/2023,Finished
P11,Refugee camp network,Haiti,28/12/2023,14/02/2024,Not Started
P12,Refugee camp network,Nicaragua,28/12/2023,22/02/2024,Not Started
P13,Provide Aid to Refugees,Brazil,07/12/2023,08/12/2023,Finished
P14,Shelter network,Belize,08/12/2023,09/12/2023,Finished
P15,Plan for camps,Andorra,07/12/2023,08/12/2023,Finished
P16,Crisis response shelters,Andorra,09/12/2023,10/12/2023,Finished
P17,Child refugee centres,Andorra,10/12/2023,11/12/2023,Finished
P18,Refugee camp network,Italy,29/12/2023,29/03/2024,Not Started
