Plan_ID,Description,Location,Start Date,End Date,Status,Numeric_ID
P1,Provide aid to refugees,New York,1/1/2023,10/1/2023,Finished,1.0
P2,Community support project,Los Angeles,15/2/2023,25/12/2023,Ongoing,2.0
P3,Medical assistance program,Chicago,20/3/2023,26/11/2023,Finished,3.0
P4,Education outreach initiative,Miami,5/4/2023,15/4/2023,Finished,4.0
P5,Food distribution campaign,San Francisco,10/5/2023,20/12/2023,Ongoing,5.0
P6,Shelter building project,Seattle,25/6/2023,5/12/2023,Finished,6.0
P7,Environmental sustainability effort,Dallas,8/8/2023,18/8/2023,Finished,7.0
P8,Disaster relief program,Houston,12/9/2023,22/9/2023,Finished,8.0
P9,Crisis counseling services,Phoenix,18/10/2023,28/10/2023,Finished,9.0
P10,Infrastructure development project,Denver,27/11/2023,27/12/2023,Ongoing,10.0
P11,food,london,30/11/2023,01/12/2023,Finished,11.0
P12,LOKL,lokl,02/12/2023,10/12/2023,Ongoing,12.0
P13,oko,lkl,01/12/2023,09/12/2023,Ongoing,13.0
P15,helo,okh,08/12/2023,10/12/2023,Not started,15.0
P14,lokj,qsf,01/12/2023,02/12/2023,Finished,14
